Dates,Satelite,Relaive_orbit,median_waterlevel
2018-02-14,SENTINEL_A,27,208.5643501
2018-02-18,SENTINEL_A,84,208.5725794
2018-02-22,SENTINEL_A,132,207.9724966
2018-02-22,SENTINEL_A,141,344.7181
2018-02-26,SENTINEL_A,189,208.6753156
2018-02-26,SENTINEL_A,198,321.5776998
2018-03-02,SENTINEL_A,246,208.5441197
2018-03-06,SENTINEL_A,303,208.6509927
2018-03-09,SENTINEL_A,355,208.69582005
2018-03-13,SENTINEL_A,27,208.5030407
2018-03-17,SENTINEL_A,84,208.49688355
2018-03-21,SENTINEL_A,132,208.2713009
2018-03-21,SENTINEL_A,141,330.125
2018-03-25,SENTINEL_A,189,208.60484115
2018-03-29,SENTINEL_A,246,208.46797685
2018-04-02,SENTINEL_A,303,208.5793669
2018-04-05,SENTINEL_A,355,208.5230741
2018-04-06,SENTINEL_A,360,208.5868
2018-04-09,SENTINEL_A,27,208.36166055
2018-04-13,SENTINEL_A,84,208.4387533
2018-04-17,SENTINEL_A,132,208.96179265
2018-04-21,SENTINEL_A,189,208.6922479
2018-04-21,SENTINEL_A,198,282.9364
2018-04-25,SENTINEL_A,246,208.6448597
2018-04-29,SENTINEL_A,303,208.7756329
2018-05-02,SENTINEL_A,355,208.90741065
2018-05-06,SENTINEL_A,27,209.02711845
2018-05-10,SENTINEL_A,84,209.1612555
2018-05-12,SENTINEL_B,98,209.5416999
2018-05-14,SENTINEL_A,132,209.293261
2018-05-14,SENTINEL_A,141,209.0248998
2018-05-16,SENTINEL_B,155,209.5272019
2018-05-18,SENTINEL_A,189,209.2783154
2018-05-21,SENTINEL_B,217,209.4016368
2018-05-22,SENTINEL_A,246,209.1202014
2018-05-25,SENTINEL_B,269,209.4297033
2018-05-26,SENTINEL_A,303,209.3870793
2018-05-29,SENTINEL_A,355,209.60741805
2018-05-29,SENTINEL_B,27,209.4342522
2018-05-30,SENTINEL_A,360,209.4095
2018-06-02,SENTINEL_A,27,209.4287481
2018-06-02,SENTINEL_B,27,209.2984962
2018-06-03,SENTINEL_B,32,299.0352001
2018-06-06,SENTINEL_A,84,209.4247644
2018-06-06,SENTINEL_B,84,209.4257856
2018-06-10,SENTINEL_A,132,209.5381985
2018-06-10,SENTINEL_B,132,209.538442
2018-06-10,SENTINEL_B,141,209.8844
2018-06-14,SENTINEL_A,189,209.52550215
2018-06-14,SENTINEL_B,189,209.5023736
2018-06-18,SENTINEL_A,246,209.35551805
2018-06-18,SENTINEL_B,246,209.2719166
2018-06-22,SENTINEL_A,303,209.45001265
2018-06-22,SENTINEL_B,303,209.36994
2018-06-25,SENTINEL_A,355,209.7907351
2018-06-25,SENTINEL_B,355,209.67086315
2018-06-26,SENTINEL_B,360,209.8748498
2018-06-29,SENTINEL_A,27,209.4642031
2018-06-30,SENTINEL_B,32,299.5180999
2018-07-03,SENTINEL_A,84,209.4341892
2018-07-03,SENTINEL_B,84,209.3678311
2018-07-07,SENTINEL_A,141,295.1784998
2018-07-07,SENTINEL_B,132,209.560467
2018-07-11,SENTINEL_B,189,209.4652507
2018-07-11,SENTINEL_B,198,209.3220999
2018-07-15,SENTINEL_A,246,209.4948829
2018-07-15,SENTINEL_B,246,209.50345105
2018-07-19,SENTINEL_A,303,209.54098325
2018-07-19,SENTINEL_B,303,209.5990601
2018-07-22,SENTINEL_A,355,209.79068645
2018-07-22,SENTINEL_B,355,209.7712778
2018-07-26,SENTINEL_A,27,209.59451795
2018-07-26,SENTINEL_B,27,209.5978226
2018-07-27,SENTINEL_A,32,269.2976999
2018-07-27,SENTINEL_B,32,209.55485
2018-07-30,SENTINEL_A,84,209.5641778
2018-07-30,SENTINEL_B,84,209.56129555
2018-08-03,SENTINEL_A,132,209.7935135
2018-08-03,SENTINEL_A,141,209.6901499
2018-08-03,SENTINEL_B,132,209.7791208
2018-08-03,SENTINEL_B,141,209.6376
2018-08-07,SENTINEL_A,189,209.7509449
2018-08-07,SENTINEL_A,198,290.7026
2018-08-07,SENTINEL_B,189,209.7455035
2018-08-07,SENTINEL_B,198,209.5656001
2018-08-11,SENTINEL_A,246,209.6369614
2018-08-11,SENTINEL_B,246,209.6290407
2018-08-15,SENTINEL_A,303,209.6136983
2018-08-15,SENTINEL_B,303,267.3972026
2018-08-18,SENTINEL_A,355,209.7803301
2018-08-18,SENTINEL_B,355,209.7914861
2018-08-22,SENTINEL_A,27,209.53636
2018-08-22,SENTINEL_B,27,209.5647423
2018-08-23,SENTINEL_A,32,266.7594
2018-08-23,SENTINEL_B,32,281.6929999
2018-08-26,SENTINEL_A,84,209.47830925
2018-08-26,SENTINEL_B,84,209.4888631
2018-08-30,SENTINEL_A,132,209.62786275
2018-08-30,SENTINEL_B,132,209.6484596
2018-08-30,SENTINEL_B,141,209.92295
2018-09-03,SENTINEL_A,189,209.5453569
2018-09-03,SENTINEL_B,189,209.5705141
2018-09-03,SENTINEL_B,198,256.6697
2018-09-07,SENTINEL_A,246,209.3698913
2018-09-07,SENTINEL_B,246,209.38472685
2018-09-11,SENTINEL_A,303,209.5052269
2018-09-11,SENTINEL_B,303,209.5291132
2018-09-14,SENTINEL_A,355,209.43365165
2018-09-14,SENTINEL_B,355,209.4475863
2018-09-18,SENTINEL_A,27,209.28643705
2018-09-18,SENTINEL_B,27,209.2705233
2018-09-22,SENTINEL_A,84,209.2689596
2018-09-22,SENTINEL_B,84,209.2717728
2018-09-26,SENTINEL_A,141,298.44755
2018-09-26,SENTINEL_B,132,209.3584616
2018-09-26,SENTINEL_B,141,209.4485999
2018-09-30,SENTINEL_A,189,209.2439565
2018-09-30,SENTINEL_A,198,273.7256
2018-09-30,SENTINEL_B,189,209.28471415
2018-09-30,SENTINEL_B,198,209.1517
2018-10-04,SENTINEL_A,246,209.1024601
2018-10-04,SENTINEL_B,246,209.1206783
2018-10-08,SENTINEL_A,303,209.18847565
2018-10-08,SENTINEL_B,303,209.21479635
2018-10-11,SENTINEL_A,355,209.2522068
2018-10-11,SENTINEL_B,355,209.2604099
2018-10-12,SENTINEL_A,360,208.9273999
2018-10-12,SENTINEL_B,360,209.1254998
2018-10-15,SENTINEL_A,27,209.0799576
2018-10-15,SENTINEL_B,27,209.0841699
2018-10-16,SENTINEL_A,32,303.2675
2018-10-19,SENTINEL_A,84,209.01752785
2018-10-19,SENTINEL_B,84,209.047011
2018-10-23,SENTINEL_A,132,209.1486622
2018-10-23,SENTINEL_A,141,208.8416
2018-10-23,SENTINEL_B,132,209.1641987
2018-10-27,SENTINEL_A,189,209.105882
2018-10-27,SENTINEL_B,189,209.02693325
2018-10-30,SENTINEL_B,241,208.97381435
2018-11-03,SENTINEL_B,289,209.09411675
2018-11-04,SENTINEL_A,303,209.01424375
2018-11-07,SENTINEL_A,355,208.94587505
2018-11-07,SENTINEL_B,346,208.9432316
2018-11-10,SENTINEL_B,13,208.88207945
2018-11-11,SENTINEL_A,27,208.8687656
